team_home,team_away,goals_home,goals_away
PK-35/Äijät,KOPSE/CRPS FC,2,2
Ponnistus/TK,ToTe/Arabia,3,1
MoPo,FC POHU/Sober,1,5
FC Lähiö,Tavastia/FC Mojo,3,1
LPS/7,HeKuLa,2,0
Kullervo/Überkleber,HPS/Rangers,0,5
JJ Vepo,AC StaSi/Europort,1,6
Kilo IF/2,Kullervo,1,3
Käpylän Sekunda,FC Pakila,3,2
Trikiinit,Cosmos,2,1
FC POHU/Kova Kamppi,Valtti/TDJ,2,5
Kasiysi/3,OT-77,1,0
FC Pakila,Kullervo/Überkleber,2,5
Kullervo,Trikiinit,1,5
KOPSE/CRPS FC,MLHF/Reserves,2,2
AC StaSi/Europort,Valtti/4,1,3
Cosmos,Kasiysi/3,2,1
Tavastia/FC Mojo,FC POHU/Kova Kamppi,3,2
AFC EMU,LPS/7,4,0
HPS/Rangers,Ponnistus/TK,2,2
HeKuLa,JJ Vepo,2,2
ToTe/Arabia,FC Lähiö,3,4
FC POHU/Sober,FC Puimur,2,2
Valtti/TDJ,Käpylän Sekunda,2,3
Kullervo/Überkleber,Tavastia/FC Mojo,3,2
Valtti/TDJ,HPS/Rangers,3,0
OT-77,MoPo,0,1
Kasiysi/3,Kullervo,0,4
FC POHU/Kova Kamppi,Kullervo/Überkleber,2,3
LPS/7,KOPSE/CRPS FC,3,2
Käpylän Sekunda,Tavastia/FC Mojo,6,2
FC Pakila,ToTe/Arabia,1,2
Cosmos,FC POHU/Sober,2,0
MLHF/Reserves,JJ Vepo,7,1
Ponnistus/TK,FC Lähiö,0,3
AFC EMU,AC StaSi/Europort,1,1
Trikiinit,MoPo,4,1
FC Puimur,Kilo IF/2,1,2
FC POHU/Kova Kamppi,HPS/Rangers,1,3
FC Lähiö,Käpylän Sekunda,4,1
FC POHU/Sober,Kasiysi/3,2,1
Kullervo/Überkleber,Ponnistus/TK,0,4
Tavastia/FC Mojo,FC Pakila,1,1
JJ Vepo,Valtti/4,1,3
Kullervo,OT-77,3,2
Kilo IF/2,Trikiinit,4,6
PK-35/Äijät,MLHF/Reserves,1,1
ToTe/Arabia,Valtti/TDJ,1,5
MoPo,FC Puimur,1,2
AC StaSi/Europort,LPS/7,2,3
FC Lähiö,FC POHU/Kova Kamppi,1,3
HPS/Rangers,Käpylän Sekunda,3,3
KOPSE/CRPS FC,HeKuLa,1,1
Valtti/4,AFC EMU,2,0
OT-77,Kilo IF/2,3,1
FC Pakila,FC Lähiö,0,5
Kullervo,MoPo,4,1
HeKuLa,PK-35/Äijät,3,5
Ponnistus/TK,Valtti/TDJ,1,4
Trikiinit,FC POHU/Sober,5,0
FC Puimur,Cosmos,2,1
KOPSE/CRPS FC,JJ Vepo,6,4
MLHF/Reserves,AC StaSi/Europort,8,0
Käpylän Sekunda,ToTe/Arabia,0,5
Valtti/4,MLHF/Reserves,1,1
Valtti/TDJ,FC Pakila,4,0
AFC EMU,HeKuLa,1,0
HPS/Rangers,Tavastia/FC Mojo,1,4
Ponnistus/TK,FC POHU/Kova Kamppi,2,2
FC POHU/Sober,Kullervo,0,1
Kilo IF/2,Kasiysi/3,0,2
ToTe/Arabia,Kullervo/Überkleber,3,3
PK-35/Äijät,LPS/7,3,0
FC Puimur,Trikiinit,1,3
Cosmos,OT-77,5,0
AC StaSi/Europort,KOPSE/CRPS FC,1,2
MLHF/Reserves,AFC EMU,3,2
HeKuLa,AC StaSi/Europort,1,6
OT-77,FC POHU/Sober,1,4
LPS/7,Valtti/4,1,1
Tavastia/FC Mojo,Valtti/TDJ,1,2
FC Pakila,HPS/Rangers,1,6
Kasiysi/3,FC Puimur,0,2
MoPo,Kilo IF/2,1,3
FC POHU/Kova Kamppi,ToTe/Arabia,3,0
Kullervo,Cosmos,1,2
Kullervo/Überkleber,FC Lähiö,2,5
Käpylän Sekunda,Ponnistus/TK,1,1
JJ Vepo,PK-35/Äijät,0,6
KOPSE/CRPS FC,AFC EMU,0,6
Valtti/TDJ,Kullervo/Überkleber,3,2
OT-77,FC Puimur,0,3
Kasiysi/3,Trikiinit,1,3
Käpylän Sekunda,FC POHU/Kova Kamppi,1,1
HeKuLa,Valtti/4,1,1
Tavastia/FC Mojo,ToTe/Arabia,5,2
LPS/7,MLHF/Reserves,0,0
AFC EMU,JJ Vepo,5,1
Cosmos,MoPo,5,2
AC StaSi/Europort,PK-35/Äijät,1,7
HPS/Rangers,FC Lähiö,1,2
FC Pakila,Ponnistus/TK,0,6
FC POHU/Sober,Kilo IF/2,3,1
FC Puimur,Kullervo,0,5
Kullervo/Überkleber,Käpylän Sekunda,2,3
PK-35/Äijät,AFC EMU,3,1
Trikiinit,OT-77,6,0
MoPo,Kasiysi/3,2,2
MLHF/Reserves,HeKuLa,5,0
ToTe/Arabia,HPS/Rangers,1,3
Kilo IF/2,Cosmos,2,5
FC POHU/Kova Kamppi,FC Pakila,3,2
FC Lähiö,Valtti/TDJ,1,1
JJ Vepo,LPS/7,1,2
Ponnistus/TK,Tavastia/FC Mojo,2,6
Valtti/4,KOPSE/CRPS FC,3,0
Valtti/4,PK-35/Äijät,2,0
