team_home,team_away,goals_home,goals_away,league_division,season,group,date
Ariana FC,Scorpions,2,6,6,26,8,2026-06-01
FC Viikingit/S.C.P L,PK-35/Legendat,5,3,6,26,8,2026-06-01
Ruila,VAMOL/Myyrmäki,11,1,6,26,8,2026-06-01
Trikiinit,VAMOL/Myyrmäki,3,1,6,26,8,2026-06-01
Scorpions,MK United/Warriors,1,4,6,26,8,2026-06-01
FC Viikingit/S.C.P L,Ruila,2,1,6,26,8,2026-06-01
Scorpions,Trikiinit,5,1,6,26,8,2026-06-01
VAMOL/Myyrmäki,Ariana FC,4,1,6,26,8,2026-06-01
MK United/Warriors,FC Viikingit/S.C.P L,2,0,6,26,8,2026-06-01
PK-35/Legendat,Ruila,0,1,6,26,8,2026-06-01
Ruila,Ariana FC,13,2,6,26,8,2026-06-01
MK United/Warriors,Trikiinit,4,1,6,26,8,2026-06-01
PK-35/Legendat,Scorpions,0,3,6,26,8,2026-06-01
Trikiinit,PK-35/Legendat,2,7,6,26,8,2026-06-01
Ariana FC,MK United/Warriors,1,2,6,26,8,2026-06-01
FC Viikingit/S.C.P L,Scorpions,1,1,6,26,8,2026-06-01
FC Viikingit/S.C.P L,Ariana FC,4,1,6,26,8,2026-06-01
MK United/Warriors,VAMOL/Myyrmäki,1,3,6,26,8,2026-06-01
Ruila,Trikiinit,2,3,6,26,8,2026-06-01
VAMOL/Myyrmäki,Scorpions,3,2,6,26,8,2026-06-01
Ariana FC,PK-35/Legendat,3,10,6,26,8,2026-06-01
Trikiinit,FC Viikingit/S.C.P L,2,0,6,26,8,2026-06-01
VAMOL/Myyrmäki,PK-35/Legendat,2,1,6,26,8,2026-06-01
Trikiinit,Ariana FC,6,2,6,26,8,2026-06-01
MK United/Warriors,Ruila,11,5,6,26,8,2026-06-01
Ruila,Scorpions,2,5,6,26,8,2026-06-01
PK-35/Legendat,MK United/Warriors,2,6,6,26,8,2026-06-01
FC Viikingit/S.C.P L,VAMOL/Myyrmäki,0,2,6,26,8,2026-06-01
