Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Bayern München,99.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Borussia Dortmund,0.3,45.7,29.5,13.8,5.3,3.8,1.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Bayer Leverkusen,0.2,37.1,31.1,16.3,8.200000000000001,4.7,1.7999999999999998,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
RB Leipzig,0.0,7.3,16.7,23.1,19.7,15.0,9.1,4.9,2.3,1.3,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0
VfB Stuttgart,0.0,5.1,8.799999999999999,15.5,21.099999999999998,18.099999999999998,13.100000000000001,10.0,5.2,2.1,0.7000000000000001,0.2,0.1,0.0,0.0,0.0,0.0,0.0
Eintracht Frankfurt,0.0,3.0,9.9,19.400000000000002,19.5,17.5,12.8,8.200000000000001,6.1,1.7999999999999998,1.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0
Hoffenheim,0.0,0.8999999999999999,2.1999999999999997,5.1,12.5,14.499999999999998,18.0,17.2,12.0,7.199999999999999,5.0,2.7,1.4000000000000001,0.7000000000000001,0.5,0.1,0.0,0.0
1. FC Köln,0.0,0.3,1.5,4.2,8.0,11.3,18.2,19.6,14.799999999999999,10.8,6.3,2.6,1.5,0.8,0.1,0.0,0.0,0.0
Werder Bremen,0.0,0.0,0.3,2.1,3.4000000000000004,8.7,11.4,14.499999999999998,14.7,14.399999999999999,12.0,8.6,4.7,3.2,1.5,0.5,0.0,0.0
Freiburg,0.0,0.1,0.0,0.3,1.3,2.8000000000000003,6.1,9.2,16.3,16.5,15.8,12.2,7.3,5.7,3.5000000000000004,1.9,1.0,0.0
Borussia Mönchengladbach,0.0,0.0,0.0,0.1,0.1,1.4000000000000001,2.1,5.5,8.4,12.4,14.000000000000002,16.6,13.8,11.3,7.7,4.3,1.7999999999999998,0.5
Mainz 05,0.0,0.0,0.0,0.0,0.5,1.3,3.4000000000000004,3.3000000000000003,6.3,12.1,14.299999999999999,15.2,13.8,11.700000000000001,8.9,4.9,3.6999999999999997,0.6
Union Berlin,0.0,0.0,0.0,0.1,0.3,0.8,2.0,3.8,7.3999999999999995,10.2,13.5,14.2,14.399999999999999,13.4,9.0,6.6000000000000005,3.2,1.0999999999999999
Wolfsburg,0.0,0.0,0.0,0.0,0.0,0.1,0.7000000000000001,2.1999999999999997,4.3999999999999995,6.3,7.199999999999999,11.700000000000001,15.8,16.7,16.2,10.2,6.4,2.1
Augsburg,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.4,0.8999999999999999,2.6,4.3999999999999995,6.9,9.1,14.000000000000002,17.5,18.7,18.0,7.199999999999999
Hamburger SV,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.5,1.7000000000000002,3.5000000000000004,5.8999999999999995,10.100000000000001,11.200000000000001,16.2,22.8,19.900000000000002,7.7
St. Pauli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,1.5,2.0,7.000000000000001,10.100000000000001,15.6,21.8,26.6,14.399999999999999
FC Heidenheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.5,0.7000000000000001,1.2,3.3000000000000003,8.200000000000001,19.400000000000002,66.4
