Squad,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Arsenal,69.5,23.1,6.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,23.1,46.1,27.1,3.3000000000000003,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,7.3,29.2,50.8,9.3,2.5,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,0.0,0.7000000000000001,8.0,40.5,22.400000000000002,10.7,8.200000000000001,4.0,2.6,2.1999999999999997,0.1,0.4,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Manchester United,0.1,0.3,3.3000000000000003,18.099999999999998,20.4,18.2,12.4,9.4,5.7,4.3999999999999995,3.3000000000000003,2.8000000000000003,1.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0
Liverpool,0.0,0.5,2.6,15.8,21.2,16.400000000000002,14.299999999999999,10.6,6.3,3.9,3.2,2.6,1.0,0.8999999999999999,0.6,0.1,0.0,0.0,0.0,0.0
Brentford,0.0,0.1,0.2,3.5999999999999996,9.8,11.799999999999999,12.5,11.4,10.8,11.1,9.700000000000001,6.3,5.6000000000000005,3.8,2.0,1.3,0.0,0.0,0.0,0.0
Newcastle United,0.0,0.0,0.5,2.6,7.000000000000001,11.4,11.1,11.899999999999999,13.4,12.6,9.5,5.2,6.6000000000000005,4.5,2.0,1.4000000000000001,0.3,0.0,0.0,0.0
Fulham,0.0,0.0,0.3,2.7,5.5,9.8,11.700000000000001,12.0,12.2,10.9,10.8,9.5,5.7,4.3,3.0,0.8,0.7000000000000001,0.1,0.0,0.0
Everton,0.0,0.0,0.0,1.2,4.0,7.199999999999999,8.4,10.7,11.4,11.799999999999999,11.3,10.6,9.1,7.199999999999999,4.5,2.1,0.5,0.0,0.0,0.0
Sunderland,0.0,0.0,0.2,1.0999999999999999,3.2,4.9,7.199999999999999,11.0,13.600000000000001,11.200000000000001,12.8,11.3,9.1,6.3,4.3,2.6,1.2,0.0,0.0,0.0
Brighton & Hove Albion,0.0,0.0,0.1,1.0999999999999999,2.1,5.2,7.3999999999999995,9.2,11.4,8.9,10.5,13.5,10.6,9.6,5.4,3.8,1.2,0.0,0.0,0.0
Bournemouth,0.0,0.0,0.0,0.1,0.1,1.7999999999999998,2.9000000000000004,3.2,4.5,7.199999999999999,9.1,8.3,11.0,15.1,13.700000000000001,12.6,9.1,1.3,0.0,0.0
Crystal Palace,0.0,0.0,0.0,0.1,0.7000000000000001,1.3,1.9,3.2,4.0,6.800000000000001,7.8,11.1,12.3,13.4,13.700000000000001,12.1,9.8,1.7000000000000002,0.1,0.0
Tottenham Hotspur,0.0,0.0,0.0,0.0,0.4,0.3,0.8,1.4000000000000001,1.7000000000000002,3.9,4.6,6.5,9.0,13.0,18.099999999999998,18.099999999999998,18.3,3.8,0.1,0.0
Leeds United,0.0,0.0,0.0,0.0,0.3,0.4,0.4,1.6,1.7000000000000002,3.3000000000000003,3.9,7.1,10.100000000000001,12.3,16.1,18.2,20.599999999999998,4.0,0.0,0.0
Nottingham Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.6,1.7999999999999998,3.4000000000000004,4.8,8.7,9.3,15.299999999999999,23.200000000000003,26.1,5.5,0.4,0.0
West Ham United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.7000000000000001,3.5000000000000004,10.6,63.800000000000004,18.9,2.1
Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.5,18.0,64.0,16.3
Wolverhampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.7999999999999998,16.5,81.6
